20
10
1,1,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,1,1,1,1,1,1,1,715,715,715,715,714,714,714,714,714,714,714,
714,714,221,221,221,221,221,221,221,715,715,715,715,714,714,714,714,714,714,714,
714,714,714,714,714,714,716,716,714,715,715,714,715,714,714,714,714,714,714,714,
714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714

