20
10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,34,35,101,102,103,104,102,103,104,103,104,33,34,35,36,37,38,8,8,
64,65,66,67,68,101,102,103,101,102,103,104,64,65,66,67,68,69,8,8,
95,96,97,98,99,101,102,103,104,71,72,73,95,96,97,98,99,100,8,8,
126,127,128,129,130,101,102,103,104,73,73,73,126,127,128,129,130,131,8,8,
2,3,4,5,6,101,102,103,104,104,104,104,2,3,4,5,6,7,8,8,
33,34,35,36,37,70,71,72,73,70,71,72,73,34,35,36,37,38,8,8,
64,65,66,67,68,101,102,103,104,101,102,103,104,65,66,67,68,69,8,8,
95,96,97,98,99,100,95,96,97,98,99,100,95,96,97,98,99,100,8,8,
126,127,128,129,130,131,126,127,128,129,130,131,126,127,128,129,130,131,8,8
