20
10
1,1,1,1,1,1,1,1,1,1,11,12,252,252,252,252,252,252,252,252,
32,33,34,35,36,37,38,39,40,41,42,43,252,252,252,252,252,252,252,252,
63,64,65,66,67,68,69,70,71,72,73,74,252,252,252,252,252,252,252,252,
94,95,96,97,98,99,100,101,102,103,104,105,252,252,252,252,252,252,252,252,
125,126,127,128,129,130,131,132,133,134,135,136,252,252,252,252,252,252,252,252,
156,157,158,159,160,161,162,163,164,165,166,167,252,252,252,252,252,252,252,252,
187,188,189,190,191,192,193,194,195,196,197,198,252,252,252,252,252,252,252,252,
218,219,220,221,222,223,224,225,226,227,228,229,252,252,252,252,252,252,252,252,
249,250,251,252,253,254,255,256,257,258,259,260,252,252,252,252,252,252,252,252,
280,281,282,283,284,285,286,287,288,289,290,291,252,252,252,252,252,252,252,252

